Bacterial_associate_taxa,Class,Family,Fungal_host_taxa,Genus,Order,Phylum,Superkingdom
Siphonobacter,Cytophagia,Cytophagaceae,Tolypocladium,Siphonobacter,Cytophagales,Bacteroidota,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Alternaria,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Aspergillus,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Basidiobolus,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Beauveria,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Botrytis,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Coniella,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Coprinus,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Epicoccum,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Fusarium,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Gaeumannomyces,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Ganoderma,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Grifola,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Hericium,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Hypsizygus,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Kuehneromyces,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Laetiporus,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Lepista,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Lyophyllum,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Marasmius,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Morchella,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Mortierella,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Mucor,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Omphalotus,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Panellus,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Penicillium,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Pleurotus,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Podila,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
